ID,Name,ID Country,ID Level 1 Sub Division,ID Level 2 Sub Division,,,,,,,,,,,,,,,,,,,,,
193.0,Nuremberg (Nürnberg),84.0,85.0,89.0,,,,,,,,,,,,,,,,,,,,,
194.0,Berlin,84.0,85.0,89.0,,,,,,,,,,,,,,,,,,,,,
195.0,Bremen,84.0,87.0,91.0,,,,,,,,,,,,,,,,,,,,,
196.0,Hamburg,84.0,88.0,92.0,,,,,,,,,,,,,,,,,,,,,
197.0,Frankfurt,84.0,89.0,93.0,,,,,,,,,,,,,,,,,,,,,
198.0,Hanover (Hannover),84.0,90.0,94.0,,,,,,,,,,,,,,,,,,,,,
199.0,Essen,84.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,
200.0,Dortmund,84.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,
201.0,Cologne (Köln),84.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,
202.0,Bonn,84.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,
203.0,Düsseldorf,84.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,
204.0,Leipzig,84.0,95.0,99.0,,,,,,,,,,,,,,,,,,,,,
205.0,Dresden,84.0,95.0,99.0,,,,,,,,,,,,,,,,,,,,,
206.0,Weinolsheim,84.0,93.0,103.0,,,,,,,,,,,,,,,,,,,,,
207.0,Lehi,237.0,44.0,104.0,,,,,,,,,,,,,,,,,,,,,
208.0,Albany,237.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,
209.0,San Mateo,237.0,5.0,105.0,,,,,,,,,,,,,,,,,,,,,
210.0,Hinesville,237.0,10.0,106.0,,,,,,,,,,,,,,,,,,,,,
211.0,Mount Waverley,14.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,
212.0,Meridian,237.0,12.0,107.0,,,,,,,,,,,,,,,,,,,,,
213.0,Sandershausen,84.0,89.0,108.0,,,,,,,,,,,,,,,,,,,,,
214.0,Port Elizabeth,207.0,99.0,109.0,,,,,,,,,,,,,,,,,,,,,
215.0,Bloemfontein,207.0,100.0,110.0,,,,,,,,,,,,,,,,,,,,,
216.0,Johannesburg,207.0,101.0,111.0,,,,,,,,,,,,,,,,,,,,,
217.0,Pretoria,207.0,101.0,111.0,,,,,,,,,,,,,,,,,,,,,
218.0,Durban,207.0,102.0,112.0,,,,,,,,,,,,,,,,,,,,,
219.0,Polokwane,207.0,103.0,113.0,,,,,,,,,,,,,,,,,,,,,
220.0,Nelspruit (Mbombela),207.0,104.0,114.0,,,,,,,,,,,,,,,,,,,,,
221.0,Kimberley,207.0,105.0,115.0,,,,,,,,,,,,,,,,,,,,,
222.0,Mahikeng,207.0,106.0,116.0,,,,,,,,,,,,,,,,,,,,,
223.0,Cape Town,207.0,107.0,117.0,,,,,,,,,,,,,,,,,,,,,
224.0,Wrocław,178.0,108.0,118.0,,,,,,,,,,,,,,,,,,,,,
225.0,Bydgoszcz,178.0,109.0,119.0,,,,,,,,,,,,,,,,,,,,,
226.0,Lublin,178.0,110.0,120.0,,,,,,,,,,,,,,,,,,,,,
227.0,Zielona Góra,178.0,110.0,120.0,,,,,,,,,,,,,,,,,,,,,
228.0,Łódź,178.0,111.0,121.0,,,,,,,,,,,,,,,,,,,,,
229.0,Kraków,178.0,112.0,122.0,,,,,,,,,,,,,,,,,,,,,
230.0,Warsaw,178.0,113.0,123.0,,,,,,,,,,,,,,,,,,,,,
231.0,Opole,178.0,114.0,124.0,,,,,,,,,,,,,,,,,,,,,
232.0,Białystok,178.0,115.0,125.0,,,,,,,,,,,,,,,,,,,,,
233.0,Gdańsk,178.0,116.0,126.0,,,,,,,,,,,,,,,,,,,,,
234.0,Katowice,178.0,117.0,127.0,,,,,,,,,,,,,,,,,,,,,
235.0,Kielce,178.0,118.0,128.0,,,,,,,,,,,,,,,,,,,,,
236.0,Olsztyn,178.0,119.0,129.0,,,,,,,,,,,,,,,,,,,,,
237.0,Poznań,178.0,120.0,130.0,,,,,,,,,,,,,,,,,,,,,
238.0,Szczecin,178.0,121.0,131.0,,,,,,,,,,,,,,,,,,,,,
239.0,Szczekociny,179.0,117.0,132.0,,,,,,,,,,,,,,,,,,,,,
240.0,Nagoya,113.0,122.0,133.0,,,,,,,,,,,,,,,,,,,,,
241.0,Chiba,113.0,125.0,136.0,,,,,,,,,,,,,,,,,,,,,
242.0,Fukuoka,113.0,128.0,139.0,,,,,,,,,,,,,,,,,,,,,
243.0,Kitakyushu,113.0,128.0,139.0,,,,,,,,,,,,,,,,,,,,,
244.0,Hiroshima,113.0,132.0,143.0,,,,,,,,,,,,,,,,,,,,,
245.0,Sapporo,113.0,133.0,144.0,,,,,,,,,,,,,,,,,,,,,
246.0,Kobe,113.0,134.0,145.0,,,,,,,,,,,,,,,,,,,,,
247.0,Kagoshima,113.0,139.0,150.0,,,,,,,,,,,,,,,,,,,,,
248.0,Yokohama,113.0,140.0,151.0,,,,,,,,,,,,,,,,,,,,,
249.0,Kawasaki,113.0,140.0,151.0,,,,,,,,,,,,,,,,,,,,,
250.0,Kumamoto,113.0,142.0,153.0,,,,,,,,,,,,,,,,,,,,,
251.0,Kyoto,113.0,143.0,154.0,,,,,,,,,,,,,,,,,,,,,
252.0,Sendai,113.0,145.0,156.0,,,,,,,,,,,,,,,,,,,,,
253.0,Nagasaki,113.0,148.0,159.0,,,,,,,,,,,,,,,,,,,,,
254.0,Nara,113.0,149.0,160.0,,,,,,,,,,,,,,,,,,,,,
255.0,Okayama,113.0,152.0,163.0,,,,,,,,,,,,,,,,,,,,,
256.0,Osaka,113.0,154.0,165.0,,,,,,,,,,,,,,,,,,,,,
257.0,Saitama,113.0,156.0,167.0,,,,,,,,,,,,,,,,,,,,,
258.0,Shizuoka,113.0,159.0,170.0,,,,,,,,,,,,,,,,,,,,,
259.0,Tokyo,113.0,162.0,173.0,,,,,,,,,,,,,,,,,,,,,
260.0,Chuo-ku,113.0,162.0,173.0,,,,,,,,,,,,,,,,,,,,,
261.0,Lyon,77.0,169.0,180.0,,,,,,,,,,,,,,,,,,,,,
262.0,Saint-Étienne,77.0,169.0,180.0,,,,,,,,,,,,,,,,,,,,,
263.0,Rennes,77.0,171.0,182.0,,,,,,,,,,,,,,,,,,,,,
264.0,Strasbourg,77.0,174.0,185.0,,,,,,,,,,,,,,,,,,,,,
265.0,Reims,77.0,174.0,185.0,,,,,,,,,,,,,,,,,,,,,
266.0,Lille,77.0,175.0,186.0,,,,,,,,,,,,,,,,,,,,,
267.0,Paris,77.0,176.0,187.0,,,,,,,,,,,,,,,,,,,,,
268.0,Le Havre,77.0,177.0,188.0,,,,,,,,,,,,,,,,,,,,,
269.0,Bordeaux,77.0,178.0,189.0,,,,,,,,,,,,,,,,,,,,,
270.0,Toulouse,77.0,179.0,190.0,,,,,,,,,,,,,,,,,,,,,
271.0,Montpellier,77.0,179.0,190.0,,,,,,,,,,,,,,,,,,,,,
272.0,Nantes,77.0,180.0,191.0,,,,,,,,,,,,,,,,,,,,,
273.0,Marseille,77.0,181.0,192.0,,,,,,,,,,,,,,,,,,,,,
274.0,Nice,77.0,181.0,192.0,,,,,,,,,,,,,,,,,,,,,
275.0,Toulon,77.0,181.0,192.0,,,,,,,,,,,,,,,,,,,,,
276.0,Hoerdt,77.0,174.0,193.0,,,,,,,,,,,,,,,,,,,,,
277.0,Cary,237.0,33.0,194.0,,,,,,,,,,,,,,,,,,,,,
278.0,South Bend,237.0,14.0,195.0,,,,,,,,,,,,,,,,,,,,,
279.0,Summit,237.0,30.0,196.0,,,,,,,,,,,,,,,,,,,,,
280.0,Duncanville,237.0,43.0,197.0,,,,,,,,,,,,,,,,,,,,,
281.0,St Louis,237.0,25.0,198.0,,,,,,,,,,,,,,,,,,,,,
282.0,Chandler,237.0,3.0,199.0,,,,,,,,,,,,,,,,,,,,,
283.0,Kennesaw,237.0,10.0,200.0,,,,,,,,,,,,,,,,,,,,,
284.0,Eveleigh,237.0,51.0,201.0,,,,,,,,,,,,,,,,,,,,,
285.0,Nepean,237.0,65.0,202.0,,,,,,,,,,,,,,,,,,,,,
286.0,Rockville,237.0,20.0,203.0,,,,,,,,,,,,,,,,,,,,,
287.0,St Paul,237.0,23.0,204.0,,,,,,,,,,,,,,,,,,,,,
288.0,Gilbert,237.0,3.0,205.0,,,,,,,,,,,,,,,,,,,,,
289.0,York,40.0,65.0,206.0,,,,,,,,,,,,,,,,,,,,,
290.0,San Carlos,237.0,5.0,207.0,,,,,,,,,,,,,,,,,,,,,
291.0,Grand Prairie,237.0,43.0,197.0,,,,,,,,,,,,,,,,,,,,,
292.0,Smyrna,237.0,10.0,208.0,,,,,,,,,,,,,,,,,,,,,
293.0,Springvale South,40.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,
294.0,Oceanside,237.0,5.0,209.0,,,,,,,,,,,,,,,,,,,,,
295.0,West Sussex,68.0,82.0,210.0,,,,,,,,,,,,,,,,,,,,,
296.0,Double Bay,14.0,51.0,211.0,,,,,,,,,,,,,,,,,,,,,
297.0,Dartmouth,14.0,182.0,212.0,,,,,,,,,,,,,,,,,,,,,
298.0,"Carrum Downs,",14.0,52.0,213.0,,,,,,,,,,,,,,,,,,,,,
299.0,Millers Point,14.0,51.0,214.0,,,,,,,,,,,,,,,,,,,,,
300.0,Geelong West,40.0,40.0,60.0,,,,,,,,,,,,,,,,,,,,,
301.0,Redfern,14.0,51.0,215.0,,,,,,,,,,,,,,,,,,,,,
302.0,Altona,14.0,52.0,216.0,,,,,,,,,,,,,,,,,,,,,
303.0,Macquarie Hills,14.0,51.0,217.0,,,,,,,,,,,,,,,,,,,,,
304.0,Labrador,14.0,53.0,218.0,,,,,,,,,,,,,,,,,,,,,
305.0,Coopers Plains,14.0,53.0,219.0,,,,,,,,,,,,,,,,,,,,,
306.0,Brisbane,14.0,53.0,220.0,,,,,,,,,,,,,,,,,,,,,
307.0,Mount Austin,14.0,51.0,221.0,,,,,,,,,,,,,,,,,,,,,
308.0,Goulds Country,14.0,56.0,222.0,,,,,,,,,,,,,,,,,,,,,
309.0,Moorabbin,14.0,52.0,223.0,,,,,,,,,,,,,,,,,,,,,
310.0,Whipstick,14.0,52.0,224.0,,,,,,,,,,,,,,,,,,,,,
311.0,Bombo,14.0,51.0,225.0,,,,,,,,,,,,,,,,,,,,,
312.0,Lawnton,14.0,53.0,226.0,,,,,,,,,,,,,,,,,,,,,
313.0,Mooroobool,14.0,53.0,227.0,,,,,,,,,,,,,,,,,,,,,
314.0,Surry Hills,14.0,51.0,228.0,,,,,,,,,,,,,,,,,,,,,
315.0,Keysborough,14.0,52.0,229.0,,,,,,,,,,,,,,,,,,,,,
316.0,Herdsman,14.0,55.0,230.0,,,,,,,,,,,,,,,,,,,,,
317.0,Hallam,14.0,52.0,231.0,,,,,,,,,,,,,,,,,,,,,
